Formula,uid,sets,alpha,is_split,proba_split,pred,correct
BN,4a5edc763604,unmatched,0.0,0,0.08,0,True
ZnF2,a57169b6ba57,unmatched,0.0,0,0.082,0,True
Cd2P2Se6,0460cce85156,unmatched,0.0,0,0.09,0,True
Se2Sn2,9b27b6ad7899,unmatched,0.0,0,0.09,0,True
Cd2Se2,3394b92523be,unmatched,0.0,0,0.093,0,True
Sn2Te2,653f8247e25e,unmatched,0.0,0,0.096,0,True
P2Sn2Te6,321533580298,unmatched,0.0,0,0.098,0,True
Ge2P2Se6,6152fa4b5f1b,unmatched,0.0,0,0.099,0,True
P2Pb2Te6,f0b8906970f5,unmatched,0.0,0,0.116,0,True
GeSe,211bcb7f05d6,rashba,0.94,1,0.12,0,False
Nb2P2S6,c9aa3a9d876c,unmatched,0.0,0,0.139,0,True
CaCl2,55e6ef39650c,unmatched,0.0,0,0.151,0,True
P2Pt2Se6,3a65ac9ff395,unmatched,0.0,0,0.16,0,True
FeF2,c67fbd722c30,unmatched,0.0,0,0.161,0,True
HfO2,6e4ac7453419,dresselhaus,0.703,1,0.168,0,False
CaBr2,49f279264c91,dresselhaus,0.376,1,0.211,0,False
P2Pb2Se6,1811d52ac455,unmatched,0.0,0,0.22,0,True
Ir2P2Se6,65c3ae4ecac2,unmatched,0.0,0,0.221,0,True
Cu2I2,ac7333c6ab94,unmatched,0.0,0,0.221,0,True
Cd2Se4,f25f251c7be8,unmatched,0.0,0,0.24,0,True
P2Rh2Se6,c10e77a99b6c,unmatched,0.0,0,0.262,0,True
SnF2,d6c3ab6de6b8,unmatched,0.0,0,0.267,0,True
HgI2,7c2657e15a6f,dresselhaus,0.311,1,0.288,0,False
Ga2P2Te6,4cb4ea247ef4,rashba,3.828,1,0.315,0,False
TiS2,0428a52595e8,unmatched,0.0,0,0.375,0,True
AsClSe,1a3be826b3e0,rashba,3.717,1,0.376,0,False
Re2Cl6,21e7665ac8f4,unmatched,0.0,0,0.394,0,True
Bi2I6,01a2d5e89adc,unmatched,0.0,0,0.409,0,True
Ir2P2Te6,1a850181de67,unmatched,0.0,0,0.417,0,True
ZrS2,2e44a755e594,dresselhaus,2.008,1,0.418,0,False
Bi2P2S6,287dcf4f1a19,rashba,1.406,1,0.442,0,False
Bi2Se2,d13cbee86f79,unmatched,0.0,0,0.443,0,True
HgTe,1a3bdd1b142a,rashba,0.618,1,0.486,0,False
P2Sb2Te6,82b85dfd7723,rashba,2.596,1,0.5,0,False
Pb2Te6,3995fa1bee6e,rashba,3.064,1,0.517,1,True
Bi2Te2,23a0796492d1,unmatched,0.0,0,0.526,1,False
AsBrS,1dcd471c2288,rashba,3.109,1,0.542,1,True
STeW,916afba26723,rashba,3.622,1,0.633,1,True
Te2Ti2,ecf4b958e9a1,unmatched,0.0,0,0.688,1,False
GeTe,eadd37f03ca5,rashba,0.952,1,0.689,1,True
HfTe2,1e2c6946ca41,dresselhaus,1.458,1,0.693,1,True
PbTe2,dbf3271b4bb1,dresselhaus,2.615,1,0.694,1,True
Bi2P2Te6,cf7927ab6730,rashba,1.814,1,0.695,1,True
Ir2O2,06ebe3806790,dresselhaus,4.665,1,0.713,1,True
 ,aa9a981d89aa,rashba,4.457,1,0.725,1,True
SnTe,e688959ea45b,rashba,0.806,1,0.739,1,True
HfO2,512afaae525a,dresselhaus,1.614,1,0.743,1,True
HgBr2,978e95bef964,unmatched,0.0,0,0.744,1,False
SeSn,d59c96fdfda1,rashba,0.873,1,0.749,1,True
Ir2S2,dd6289af8e01,dresselhaus,2.202,1,0.778,1,True
CrMo3S8,644f7c1c85c7,rashba,1.46,1,0.787,1,True
SrBr2,a4c9c803de7d,dresselhaus,0.244,1,0.788,1,True
Cr2Mo2S8,72b286460831,rashba,1.344,1,0.794,1,True
W2Cl6,eea8aee9e120,unmatched,0.0,0,0.797,1,False
MoCr3S8,3fb52099b370,rashba,1.221,1,0.8,1,True
WCr3S8,dc4259e69783,rashba,1.317,1,0.812,1,True
PbS,5e4ff1f56b4a,rashba,1.241,1,0.834,1,True
OsCl2,d37ba63794ad,dresselhaus,3.244,1,0.835,1,True
O2Rh2,740bf2751050,dresselhaus,4.914,1,0.841,1,True
P2Ta2Se6,e2c90519357b,unmatched,0.0,0,0.847,1,False
P2Pb2S6,7cf77f91eef0,unmatched,0.0,0,0.853,1,False
Ge2P2Te6,e8f4b479deef,unmatched,0.0,0,0.854,1,False
MoSTe,2ea941c8bc3c,rashba,2.525,1,0.857,1,True
ZrSe2,001dfe9a7fa2,dresselhaus,1.998,1,0.858,1,True
OsBr2,bf30e1249164,dresselhaus,4.625,1,0.875,1,True
MoW3S8,2f6f133abcc8,rashba,2.241,1,0.893,1,True
Mo2W2S8,449640ec4d30,rashba,1.954,1,0.897,1,True
Hf2Zr2Se8,81af2831dbb2,rashba,0.698,1,0.899,1,True
Mo2W2Te8,c04fc052f2ca,rashba,1.645,1,0.902,1,True
Cr2W2S8,5974b6403c31,rashba,1.592,1,0.903,1,True
HfZr3Se8,70e7ab872359,rashba,0.95,1,0.904,1,True
S2Sn2,7a8373382b33,rashba,4.469,1,0.904,1,True
BrSSb,4da5c6be60db,rashba,2.39,1,0.906,1,True
MoW3Te8,5c3fe56a1a89,rashba,2.045,1,0.914,1,True
TiZr3Te8,4f1ab08988cc,rashba,1.679,1,0.915,1,True
CrW3Te8,eef072f845ce,rashba,1.592,1,0.916,1,True
WMo3Te8,323fb700d903,rashba,1.501,1,0.918,1,True
P2Sb2Se6,5d1a32a28ffa,rashba,2.546,1,0.92,1,True
BiClS,99fd027b1d0b,rashba,0.461,1,0.923,1,True
TiHf3Te8,1667d1443160,rashba,1.512,1,0.924,1,True
PbSe,a0dbdc6630fa,rashba,1.603,1,0.924,1,True
CrMo3Te8,159f028a85d0,rashba,0.896,1,0.926,1,True
WMo3S8,9c2979187585,rashba,1.816,1,0.926,1,True
HfSe2,08401460f377,dresselhaus,3.599,1,0.926,1,True
BiClS,c96ef4fc869c,rashba,1.181,1,0.926,1,True
Ti2Zr2Te8,18e377cce57f,rashba,1.855,1,0.927,1,True
AsClTe,fba4cc0df459,rashba,0.634,1,0.932,1,True
PbF2,ccc95033446d,dresselhaus,2.465,1,0.934,1,True
O2Pb2,20f098bd3f31,rashba,1.914,1,0.934,1,True
HfS2,3d4bfe131291,dresselhaus,2.471,1,0.941,1,True
ClSbSe,0c0fbdaf8f4a,rashba,2.682,1,0.941,1,True
ZrHf3Se8,b8fb10416122,rashba,0.725,1,0.942,1,True
PbTe,3bc08d486d65,rashba,2.18,1,0.943,1,True
ClSbTe,da5fd2bb47af,rashba,2.891,1,0.944,1,True
Cr2W2Te8,62bb754c4cb2,rashba,1.535,1,0.947,1,True
BiITe,a84d988e38ac,rashba,0.467,1,0.947,1,True
Ti2Zr2Se8,846b50801a93,rashba,1.767,1,0.948,1,True
GeBr2,204ef2affa10,dresselhaus,2.998,1,0.949,1,True
AsBrTe,671e6de2497a,rashba,0.694,1,0.949,1,True
ClSbSe,f705a30af945,rashba,1.483,1,0.95,1,True
PbI2,14411dde597c,dresselhaus,1.534,1,0.95,1,True
PbCl2,f9d58a299674,dresselhaus,1.036,1,0.95,1,True
BiIS,acdcd16c0d76,rashba,1.858,1,0.951,1,True
MoCr3Te8,899032b4ad0c,rashba,1.409,1,0.952,1,True
WCr3Te8,6523c349753c,rashba,0.99,1,0.952,1,True
BiClTe,968a6902b7f5,rashba,1.175,1,0.952,1,True
BiBrTe,f4f45fcade85,rashba,0.498,1,0.952,1,True
PbBr2,cabd4ba0f21c,dresselhaus,1.684,1,0.952,1,True
CrW3S8,a9f87eba4b96,rashba,1.909,1,0.953,1,True
SnBr2,0155c4de2320,dresselhaus,1.316,1,0.954,1,True
BiISe,433f707c632c,rashba,1.255,1,0.954,1,True
TiZr3Se8,a148361e5e9a,rashba,1.321,1,0.954,1,True
ZrTi3Se8,52a5e2b280d4,rashba,1.091,1,0.954,1,True
SSeW,001e03f2c095,rashba,3.288,1,0.955,1,True
HfTi3Se8,c55716558616,rashba,1.191,1,0.955,1,True
GeI2,694ac91aec01,dresselhaus,3.425,1,0.956,1,True
BiClSe,7fe9c5cb910c,rashba,0.746,1,0.957,1,True
BiClSe,a80866a2c6b4,rashba,3.032,1,0.957,1,True
Hf2Ti2Se8,cce78d90e899,rashba,1.409,1,0.958,1,True
BiClTe,badda86cab42,rashba,1.458,1,0.959,1,True
BiBrS,49b7be14f786,rashba,1.293,1,0.959,1,True
Cr2Mo2Te8,988b11badabb,rashba,1.105,1,0.96,1,True
AsISe,5d829e480507,rashba,1.626,1,0.961,1,True
TiHf3Se8,3e1923c616ad,rashba,1.256,1,0.962,1,True
ISSb,5b94060698bc,rashba,2.844,1,0.963,1,True
BiBrSe,11db0908d9ef,rashba,0.393,1,0.964,1,True
SnI2,7f0ca28e3229,dresselhaus,3.076,1,0.964,1,True
AsIS,b13beafa16aa,rashba,2.033,1,0.965,1,True
BrSbTe,f1e78a09001d,rashba,1.315,1,0.966,1,True
BrSbTe,18e62ba75259,rashba,2.631,1,0.967,1,True
AsClTe,4fd8ad708fb0,rashba,2.895,1,0.967,1,True
BiBrSe,de5756e4fbfa,rashba,2.784,1,0.969,1,True
BiISe,70cbc0e44d36,rashba,2.089,1,0.969,1,True
ISbSe,df0019ec24b5,rashba,2.431,1,0.969,1,True
ClSbTe,04fdd7d1ec5c,rashba,1.018,1,0.97,1,True
ISSb,4c49d27e66e5,rashba,0.907,1,0.972,1,True
WMo3Se8,05a06afa3b20,rashba,1.643,1,0.973,1,True
BiIS,40034665f9f1,rashba,1.254,1,0.973,1,True
Cr2W2Se8,548aa830244c,rashba,1.39,1,0.973,1,True
SeTeW,6e2a4c6f4f57,rashba,1.394,1,0.974,1,True
STeW,75ee10091f43,rashba,3.947,1,0.974,1,True
Sn2Te2,03bcf7dcdaf2,rashba,4.804,1,0.975,1,True
MoW3Se8,24d6cc0a0fed,rashba,2.097,1,0.976,1,True
BiBrTe,304bc6a92d82,rashba,1.13,1,0.976,1,True
Mo2W2Se8,a1d716aad84d,rashba,1.784,1,0.976,1,True
BiITe,2d41b3dd1772,rashba,2.086,1,0.976,1,True
Cr2Mo2Se8,60065d3bbcf2,rashba,1.173,1,0.977,1,True
MoCr3Se8,961c37d6e527,rashba,0.977,1,0.979,1,True
CrMo3Se8,a7233837cfe9,rashba,1.311,1,0.979,1,True
CrW3Se8,0b7696e1f4c9,rashba,1.756,1,0.98,1,True
AsITe,114b3382699c,rashba,0.579,1,0.981,1,True
ISbTe,0f02957b17cf,rashba,3.658,1,0.981,1,True
ISbSe,343d2125478e,rashba,1.17,1,0.981,1,True
WCr3Se8,c798e725e2fb,rashba,1.16,1,0.983,1,True
